koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CONFIRMED,11.59822233,180.395376,0.679,2.5237,2.80E+03,396,3688,4.79,0.473
CONFIRMED,6.575315881,173.634044,0.39,4.3084,2.79E+03,1015,5992,4.415,0.989
CONFIRMED,7.275040844,169.994217,0.547,7.5377,3.00E+03,833,5485,4.556,0.867
CONFIRMED,19.27153892,186.77093,0.031,2.7594,1.22E+03,393,4077,4.702,0.56
CONFIRMED,10.06524317,136.28906,0.628,1.369,1.05E+03,488,4077,4.702,0.56
CONFIRMED,12.3935651,178.74725,0.883,3.8896,9.17E+02,677,5557,4.603,0.75
CONFIRMED,43.84439721,151.93538,0.852,6.802,6.15E+02,531,5854,4.406,1.012
FALSE POSITIVE,3.341913228,171.63943,1.213,3.813,7.25E+02,1032,5295,4.551,0.811
FALSE POSITIVE,1.626630225,169.820171,1.26,2.1145,1.62E+03,1547,5735,4.41,0.973
CONFIRMED,2.711504086,170.03417,0.023,3.0099,8.38E+02,1420,6214,4.442,1.076
CONFIRMED,7.21203748,172.81782,0.012,4.0491,9.50E+02,1025,6214,4.442,1.076
FALSE POSITIVE,14.1798187,171.50237,0.1601,2.505,4.60E+02,711,5799,4.539,0.878
CONFIRMED,8.47237911,174.16212,0.022,2.7245,1.12E+03,751,5354,4.587,0.788
CONFIRMED,60.4189369,181.16367,0.094,5.039,9.31E+02,390,5354,4.587,0.788
CONFIRMED,12.61190435,180.892284,0.55,5.1497,6.11E+03,753,5795,4.508,0.919
FALSE POSITIVE,1.433769925,170.403536,1.268,1.8868,1.98E+03,1920,6017,4.22,1.339
FALSE POSITIVE,10.31872301,173.31543,1.215,3.836,8.72E+02,876,5927,4.409,1.06
CONFIRMED,2.539183147,169.67494,0.238,2.4282,3.82E+02,1332,5519,4.35,1.062
CONFIRMED,6.770300385,170.57662,0.838,2.0844,1.30E+03,812,5653,4.656,0.679
FALSE POSITIVE,0.444291966,169.865406,1.258,2.0792,1.10E+04,1836,5255,4.678,0.636
CANDIDATE,10.181584,177.141891,0.92,3.5089,5.74E+03,812,5988,4.541,0.836
CONFIRMED,20.06036336,147.46554,0.556,3.3203,1.49E+03,361,3950,4.754,0.493
CONFIRMED,46.1842039,165.23729,0.013,4.758,1.39E+03,273,3950,4.754,0.493
CONFIRMED,23.9800854,147.537,0.95,5.351,1.04E+02,649,5854,4.406,1.012
CONFIRMED,7.82502168,136.54995,0.708,2.186,5.21E+02,494,3950,4.754,0.493
CONFIRMED,3.895936525,170.527552,0.524,2.3111,8.54E+03,1005,5557,4.592,0.774
CONFIRMED,22.36646466,175.45862,0.4,5.228,9.87E+02,536,5395,4.615,0.734
CONFIRMED,1.625522174,170.8266564,0.076,2.38963,7.97E+03,1579,5539,4.322,1.106
CANDIDATE,19.62034692,181.881819,0.458,2.0038,2.17E+04,643,5710,4.492,0.905
FALSE POSITIVE,7.544039,171.7982,1.175,6.222,3.23E+02,838,5657,4.567,0.824
CONFIRMED,9.02930689,177.20422,0.024,3.1449,1.02E+03,757,5349,4.526,0.82
FALSE POSITIVE,10.32803571,174.581054,0.281,7.7915,1.69E+04,843,5627,4.359,1.024
