koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
FALSE POSITIVE,23.6272223,173.65096,0.711,7.9,1.55E+02,1358,8308,3.861,2.879
FALSE POSITIVE,8.97349999,171.03075,0.56,3.1408,9.35E+02,2262,4751,2.52,11.536
FALSE POSITIVE,108.546946,151.1275,0.055,7.567,7.11E+02,985,4751,2.52,11.536
CONFIRMED,3.254277742,172.66256,0.303,2.9903,1.60E+02,1301,5945,4.402,1.089
CONFIRMED,91.3514816,189.60082,0.008,8.707,2.10E+02,428,5945,4.402,1.089
FALSE POSITIVE,2.250826647,170.321819,1.221,1.536,5.34E+02,1489,5779,4.308,1.119
CONFIRMED,31.1588249,173.90355,0.029,5.1803,9.59E+02,639,5951,4.319,1.155
FALSE POSITIVE,0.436282594,170.702041,1.269,1.3988,5.36E+02,5187,8491,3.853,2.622
CONFIRMED,76.7324556,200.6722,0.462,6.243,6.86E+02,473,5951,4.319,1.155
CONFIRMED,13.89963233,182.864454,0.777,3.5791,1.12E+03,521,4538,4.607,0.663
CONFIRMED,6.14955931,169.55182,0.368,5.5694,3.34E+02,1287,5687,3.973,1.775
CANDIDATE,4.8099878,133.00671,0.2,1.97,2.88E+02,1077,5988,4.507,0.934
CANDIDATE,5.08288076,134.00557,0.389,2.515,1.08E+02,1183,6217,4.375,1.083
CANDIDATE,31.0259489,158.5632,0.153,5.692,3.85E+02,595,6075,4.486,0.969
CANDIDATE,3.08942807,134.1999,0.65,3.214,8.53E+01,1361,6137,4.418,1.103
CONFIRMED,44.8702042,141.11446,0.436,4.199,6.36E+02,536,6122,4.471,0.996
FALSE POSITIVE,4.8807805,133.705,0.581,9.4,7.90E+01,706,4763,4.738,0.516
CONFIRMED,4.45342418,133.09066,0.569,3.654,4.66E+01,1331,6256,4.269,1.269
FALSE POSITIVE,2.21396685,132.56407,0.017,4.374,8.16E+01,1418,5986,4.461,0.93
CONFIRMED,9.705693,140.3709,0.941,7.702,1.41E+02,1001,5808,4.178,1.385
CANDIDATE,21.2360024,149.88083,0.205,4.019,1.04E+02,1048,6035,3.745,2.559
CONFIRMED,8.31377304,175.99137,0.002,2.964,8.37E+02,886,5900,4.509,0.951
FALSE POSITIVE,8.58969597,174.9625,1.197,8.471,2.45E+02,882,6024,4.523,0.9
CONFIRMED,7.97420583,174.52718,0.128,5.3503,2.93E+02,974,5973,4.386,1.081
CONFIRMED,1.88899036,132.09517,0.011,3.486,5.90E+01,1574,5973,4.386,1.081
CONFIRMED,18.68405716,170.83245,0.858,6.9329,3.82E+02,832,5548,4.038,1.614
CONFIRMED,21.41624083,176.24991,0.081,7.081,3.15E+02,748,6156,4.331,1.18
FALSE POSITIVE,12.28351275,174.36652,1.224,3.634,5.98E+02,1342,6171,3.668,2.759
CONFIRMED,4.72674037,134.926396,0.657,2.9267,2.73E+02,1028,5648,4.472,0.894
FALSE POSITIVE,6.77449545,171.0118,1.178,2.5416,4.82E+02,1219,6517,4.265,1.342
CANDIDATE,14.59150445,180.851546,1.21,1.1295,1.49E+03,879,5940,4.199,1.312
FALSE POSITIVE,27.6776801,173.796579,0.933,2.1704,1.15E+04,618,6075,4.486,0.969
FALSE POSITIVE,0.605223042,131.75593,0.109,0.8986,2.32E+02,1728,5089,4.559,0.757
CONFIRMED,25.5172744,154.4165,0.322,4.735,6.68E+01,615,5680,4.414,1.016
CONFIRMED,4.73292061,131.579,0.121,1.746,1.52E+02,957,5595,4.581,0.796
CONFIRMED,22.4765952,136.82336,0.176,3.437,4.81E+02,419,4563,4.704,0.567
CANDIDATE,1.242639742,131.88125,0.152,1.763,1.59E+02,1487,5520,4.572,0.818
FALSE POSITIVE,25.503628,139.3578,0.953,3.913,2.04E+02,586,5815,4.54,0.877
CONFIRMED,14.8638496,142.95729,1.006,2.705,2.21E+02,620,5159,4.508,0.8
CONFIRMED,5.65245733,136.97891,0.889,2.062,1.21E+02,856,5159,4.508,0.8
CONFIRMED,10.9294815,141.5034,0.197,5.893,1.97E+02,770,5792,4.547,0.864
CANDIDATE,0.536650319,131.71106,0.61,2.383,4.19E+01,3195,6020,3.922,2
CONFIRMED,5.45849914,172.08857,0.65,4.0448,2.56E+02,1099,5914,4.396,1.135
CONFIRMED,13.28536452,169.86052,0.774,6.283,3.78E+02,1157,6534,3.973,1.9
FALSE POSITIVE,8.4879444,176.92505,0.752,3.224,1.19E+02,969,6134,4.396,1.039
FALSE POSITIVE,46.56675437,196.31173,0.87,7.831,8.01E+02,708,6629,4.132,1.619
FALSE POSITIVE,19.5148412,132.60757,0.742,3.096,1.03E+02,1200,7004,3.854,2.556
CONFIRMED,15.4130812,136.94324,0.372,6.6358,2.64E+02,944,6206,4.159,1.573
CONFIRMED,4.82051088,135.78541,0.922,3.588,4.09E+01,1328,6046,4.158,1.396
CANDIDATE,6.09595681,134.59214,0.685,5.502,6.57E+01,1259,6313,4.228,1.467
CANDIDATE,13.2511214,141.178,0.231,4.996,2.67E+02,850,5850,4.297,1.217
FALSE POSITIVE,5.76556718,134.96501,0.678,3.138,2.13E+02,1120,6218,4.404,1.072
CANDIDATE,11.682369,134.8311,0.6987,2.71,2.35E+02,802,6089,4.527,0.889
CANDIDATE,10.12956201,135.99804,0.544,3.044,8.13E+01,736,5383,4.528,0.842
CONFIRMED,15.6112238,144.8735,0.468,3.873,1.14E+02,637,5383,4.528,0.842
CONFIRMED,42.5217006,136.1274,0.495,5.723,6.86E+02,510,5911,4.519,0.914
FALSE POSITIVE,0.566805887,131.8203886,0.762,5.2317,1.70E+00,1554,5000,4.708,0.549
CONFIRMED,6.69958851,134.1468,0,2.831,2.54E+02,806,5296,4.586,0.799
FALSE POSITIVE,14.17097278,175.60775,0.579,3.7316,1.35E+04,1288,8347,4.231,1.715
FALSE POSITIVE,1.332562831,132.05088,1.241,6.24,2.98E+02,1532,5718,4.549,0.863
CONFIRMED,2.39161966,133.07956,0.299,1.906,1.89E+02,1031,4935,4.589,0.685
CONFIRMED,5.68879083,131.6672,0.39,2.55,2.42E+02,645,4234,4.63,0.639
CONFIRMED,2.31941571,131.93925,0.429,1.591,9.64E+01,1490,5624,4.256,1.248
CONFIRMED,19.7830259,177.72013,0.015,5.4898,3.73E+02,708,5747,4.335,1.099
FALSE POSITIVE,10.43114677,133.936337,1.225,3.8853,2.94E+04,833,5780,4.438,1
CONFIRMED,7.0106324,174.57542,0.683,3.0688,3.27E+02,738,4908,4.567,0.782
CONFIRMED,3.10762684,132.63359,0.7,2.361,7.72E+01,968,4908,4.567,0.782
CONFIRMED,1.980356674,170.139601,0.713,2.4743,2.72E+02,1662,6078,4.29,1.189
CONFIRMED,12.8344771,138.32626,0.956,3.846,2.81E+02,891,6078,4.29,1.189
FALSE POSITIVE,175.329014,230.9292,1.231,6.269,1.06E+03,327,6008,4.499,0.93
CANDIDATE,21.61313362,137.02689,0.714,1.52,8.18E+02,503,5267,4.681,0.632
CONFIRMED,2.7881793,131.84558,0.058,3.397,5.58E+01,1510,5758,4.168,1.385
CONFIRMED,4.13827684,133.2285,0.499,3.449,6.38E+01,1324,5758,4.168,1.385
FALSE POSITIVE,2.61846258,134.02945,0.013,3.505,2.75E+02,843,4266,4.626,0.643
CONFIRMED,29.72722,134.6581,0.744,3.45,1.01E+03,557,5815,4.54,0.877
CONFIRMED,18.01019956,179.42137,0.966,3.516,1.78E+02,758,5931,4.322,1.101
CONFIRMED,10.61368712,140.85316,0.024,3.498,5.60E+02,785,5815,4.54,0.877
FALSE POSITIVE,7.53887442,135.3319,0.727,3.147,3.42E+02,751,5318,4.601,0.667
FALSE POSITIVE,0.53633519,131.71447,0.489,1.0547,4.44E+02,1974,5508,4.569,0.84
CANDIDATE,27.9430245,136.8697,0.052,6.125,3.09E+02,718,6468,4.363,1.25
CONFIRMED,8.07394097,540.04161,0.928,2.455,1.06E+03,420,3675,4.869,0.398
CONFIRMED,4.53702121,132.1846,0.706,1.813,5.04E+02,798,4805,4.633,0.688
CANDIDATE,0.977311489,131.70299,0.01,1.403,2.51E+02,1331,4805,4.633,0.688
CONFIRMED,39.859505,154.7616,0.398,7.987,1.56E+02,597,5675,4.209,1.292
FALSE POSITIVE,23.6731242,160.628756,0.21,14.3948,2.31E+04,676,5769,4.338,1.177
CONFIRMED,7.170710381,176.666844,0.188,2.9225,8.63E+02,890,5497,4.437,0.941
CONFIRMED,4.699652821,177.61519,0.135,2.553,3.51E+02,1024,5497,4.437,0.941
CONFIRMED,4.761705895,170.335759,0.384,3.3061,4.97E+02,1201,5794,4.263,1.225
CONFIRMED,2.024143568,170.496204,0.513,2.5273,2.39E+02,1597,5794,4.263,1.225
FALSE POSITIVE,1.371288853,131.93796,0.953,1.4528,6.62E+01,1837,6220,4.378,1.108
CONFIRMED,11.87290814,180.895933,0.904,2.5342,3.33E+02,863,6147,4.412,1.04
CONFIRMED,1.638652525,132.29025,0.365,1.952,1.67E+02,1610,6119,4.472,0.981
CONFIRMED,9.06687613,134.75185,0.928,3.381,3.67E+02,725,5142,4.515,0.789
CONFIRMED,4.0223109,135.17298,0.741,0.853,2.28E+02,1017,5516,4.544,0.827
CONFIRMED,6.9131732,138.4219,0.264,4.73,3.91E+01,1209,6296,4.21,1.444
CONFIRMED,7.32851947,132.12857,0.983,1.211,2.78E+02,807,5135,4.464,0.874
CONFIRMED,18.6052046,149.0376,0.093,6.829,2.43E+02,833,6572,4.365,1.238
FALSE POSITIVE,1.332562787,132.05138,1.24,6.28,1.11E+03,1703,6091,4.487,0.967
CANDIDATE,0.896382269,132.29651,0.332,1.113,1.36E+02,1810,5837,4.502,0.843
CONFIRMED,39.4420781,169.1411,0.42,7.029,1.72E+02,682,5430,3.923,1.902
CONFIRMED,10.27532513,177.27227,0.315,6.3093,2.10E+02,1211,6150,3.96,2.086
FALSE POSITIVE,11.50528603,135.1016,0.461,2.098,2.60E+02,912,6355,4.41,1.108
CONFIRMED,26.62941953,191.99627,0.015,7.8709,4.93E+02,742,5866,4.117,1.417
CONFIRMED,296.6375817,403.672042,0.429,16.425,2.76E+03,332,5866,4.117,1.417
CONFIRMED,41.8085031,148.70814,0.011,7.797,1.90E+02,582,5794,4.263,1.225
FALSE POSITIVE,2.98786272,168.011233,0.621,2.5814,4.28E+04,1064,5231,4.544,0.821
CONFIRMED,39.30944096,171.334861,0.028,5.77,1.13E+03,488,5607,4.536,0.863
CONFIRMED,29.88487723,173.194404,0.658,4.5612,1.28E+03,453,4883,4.549,0.749
CONFIRMED,12.92489803,170.78679,0.768,2.6811,9.59E+02,620,5103,4.584,0.768
CANDIDATE,11.45541896,136.32524,0.116,4.95,6.86E+01,975,6231,4.276,1.356
FALSE POSITIVE,0.575884418,132.00778,1.258,2.0734,2.72E+02,2397,6290,4.442,1.044
FALSE POSITIVE,0.562555067,131.74958,0.527,1.7402,1.98E+02,2046,5793,4.561,0.832
CANDIDATE,44.433726,162.9825,0.624,6.118,2.40E+02,538,5596,4.298,1.145
FALSE POSITIVE,0.993703494,132.142,0.436,0.7645,6.74E+01,3257,6854,3.808,2.715
CONFIRMED,6.33125228,137.14149,0.094,2.688,3.07E+02,822,5383,4.603,0.759
CONFIRMED,24.2204192,146.42459,0.032,3.271,8.06E+02,505,5165,4.599,0.761
FALSE POSITIVE,30.9597053,139.43903,1.191,5.42,4.11E+02,438,4947,4.621,0.714
CONFIRMED,6.41491277,169.64044,0.869,3.3629,1.21E+02,1069,5931,4.322,1.101
FALSE POSITIVE,93.881556,131.5771,0.008,20.644,1.89E+02,479,5676,4.1,1.487
CANDIDATE,3.91679553,133.60274,0.007,2.072,1.61E+02,851,4889,4.637,0.686
CANDIDATE,43.1024434,140.1394,0.011,7.124,3.00E+02,539,5741,4.365,1.097
FALSE POSITIVE,2.683395376,171.42605,0.763,1.8592,2.35E+02,1860,6958,4.195,1.529
CONFIRMED,31.51779463,185.1533,0.561,7.634,3.58E+02,663,5611,4.144,1.4
CONFIRMED,8.12999858,134.10067,0.896,2.1492,1.48E+02,1041,5611,4.144,1.4
CANDIDATE,31.4452709,154.58136,0.97,1.758,5.31E+02,721,6172,4.198,1.471
FALSE POSITIVE,66.46746217,160.47651,0.116,19.6638,1.26E+04,466,5843,4.403,1.073
CONFIRMED,2.586639524,171.842572,0.349,2.253,2.18E+02,1328,5780,4.421,0.966
FALSE POSITIVE,2.671942657,169.853908,0.982,1.9119,1.59E+04,1458,6116,4.335,1.055
CONFIRMED,28.51117639,187.363955,0.77,4.5941,1.84E+03,423,4687,4.627,0.69
CONFIRMED,14.38682567,170.455049,0.021,2.1417,5.70E+02,776,5725,4.353,1.072
CANDIDATE,8.85686712,134.13633,0.923,0.606,3.19E+02,714,5017,4.516,0.797
CANDIDATE,12.99065074,177.23865,0.068,2.3748,3.92E+02,790,5787,4.402,1.027
CONFIRMED,331.5972732,140.498929,0.02,14.404,8.32E+03,294,5970,4.317,1.2
CONFIRMED,11.20058855,137.51003,0.956,4.562,2.20E+02,808,6038,4.524,0.898
FALSE POSITIVE,1.50179931,131.55611,0.256,3.275,1.00E+02,1229,5024,4.613,0.736
CONFIRMED,17.83367834,181.233943,0.013,4.5112,3.27E+02,866,6407,4.268,1.337
CONFIRMED,19.55662003,189.04354,0.606,8.087,2.99E+02,797,5671,4.094,1.36
CANDIDATE,82.6595174,152.6726,0.579,3.48,1.27E+03,233,3952,4.716,0.553
CONFIRMED,2.03387483,131.91927,0.238,3.097,7.36E+01,1789,5282,3.913,1.899
FALSE POSITIVE,5.07538255,133.92978,0.919,1.7,1.63E+02,1154,5933,4.334,1.118
CONFIRMED,23.9553986,146.66221,0.669,3.204,2.29E+02,741,5011,3.903,1.781
CANDIDATE,24.3367026,154.3759,0.577,2.539,5.51E+02,526,5141,4.505,0.806
CANDIDATE,7.40985182,138.18222,0.234,1.131,2.01E+02,818,5462,4.56,0.836
FALSE POSITIVE,1.02425556,131.49437,1.312,2.6439,1.63E+03,1503,5337,4.594,0.764
FALSE POSITIVE,4.63958598,172.21917,0.014,2.768,8.34E+01,1587,6591,4.024,1.646
CANDIDATE,15.5943758,140.3138,0.5,7.367,9.54E+01,801,6249,4.428,1.076
CONFIRMED,34.4359387,193.038,0.017,5.82,4.25E+02,652,5929,4.243,1.363
CONFIRMED,5.317440164,171.875619,0.72,2.9331,2.93E+02,1105,5923,4.377,1.054
CONFIRMED,10.10575764,135.50958,0.828,2.0138,1.17E+02,892,5923,4.377,1.054
CONFIRMED,28.86236571,178.48498,0.778,5.4033,4.49E+02,623,5725,4.326,1.088
CONFIRMED,210.6013843,147.056867,0.002,11.9922,4.16E+03,342,5970,4.317,1.2
CANDIDATE,75.731195,201.9685,0.9,4.859,2.50E+03,237,3891,4.718,0.564
CONFIRMED,59.7371443,158.95974,0.005,8.0006,5.66E+02,520,5970,4.317,1.2
FALSE POSITIVE,3.388887193,172.259054,0.387,2.4475,1.13E+04,1212,5780,4.438,1
CONFIRMED,27.08239734,191.80728,0.915,5.0119,4.23E+02,703,5857,4.204,1.305
CANDIDATE,152.1060435,176.52741,0.878,7.4517,3.69E+03,458,6200,4.072,1.64
CONFIRMED,30.6528935,135.04211,0.682,4.99,2.70E+02,780,6200,4.072,1.64
FALSE POSITIVE,0.512869432,132.01554,1.263,4.015,2.31E+03,2185,5853,4.529,0.895
CONFIRMED,5.19492747,131.62458,0.093,3.167,2.73E+02,1238,6415,4.374,1.224
CONFIRMED,15.9314412,141.81212,0.604,2.435,5.57E+02,596,5380,4.616,0.721
FALSE POSITIVE,1.33251589,132.0842,0.53,4.216,1.41E+02,1747,5701,4.291,1.068
CONFIRMED,28.227413,141.49504,0.025,5.782,1.11E+03,565,5858,4.553,0.849
FALSE POSITIVE,0.545544979,131.72408,0.604,1.954,9.26E+01,2240,6050,4.509,0.92
FALSE POSITIVE,419.9750784,524.8465031,0.68,12.1687,2.75E+02,215,5316,4.477,0.872
CONFIRMED,4.76559056,133.50531,0.14,2.2,6.75E+01,1167,5702,4.258,1.125
CONFIRMED,2.98618134,133.46926,0.249,2.969,1.23E+02,1356,6173,4.447,1.041
FALSE POSITIVE,25.9200092,138.1757,0.054,5.609,3.31E+02,515,5517,4.631,0.704
CONFIRMED,6.17817366,168.8626,0.775,3.2601,1.02E+02,1082,5931,4.322,1.101
FALSE POSITIVE,2.04516705,132.36168,0.74,3.625,1.55E+02,2945,9206,4.112,2.157
CANDIDATE,7.25101997,138.1878,0.314,2.799,1.23E+02,807,5382,4.571,0.827
CONFIRMED,5.65178922,172.27915,0.906,3.0933,1.34E+02,1248,6085,4.218,1.463
CONFIRMED,19.96367208,178.30806,0.846,2.6403,2.71E+02,564,5250,4.541,0.79
CANDIDATE,57.3840375,170.72723,0.954,4.336,2.42E+02,397,5250,4.541,0.79
CONFIRMED,1.541676547,170.543719,0.362,1.9118,2.97E+02,1592,5533,4.337,1.089
FALSE POSITIVE,6.397185875,174.365353,0.755,5.8638,1.89E+04,981,5780,4.438,1
FALSE POSITIVE,2.976020742,171.65845,0.721,3.73,1.15E+02,1740,5947,3.939,1.796
CONFIRMED,15.95995611,171.52098,0.526,4.3149,5.23E+02,721,5936,4.501,0.965
CONFIRMED,7.37867551,135.82271,0.513,3.349,1.25E+02,933,5936,4.501,0.965
CONFIRMED,4.903321801,172.900587,0.016,2.8887,3.35E+02,1247,6045,4.276,1.298
CONFIRMED,1.82708193,170.52583,0.033,1.96401,1.16E+03,1877,5311,3.864,1.769
FALSE POSITIVE,22.84524104,172.8026986,0.617,5.3007,4.57E+04,762,5926,4.187,1.351
CANDIDATE,2.5738437,132.17126,0.044,1.92,4.66E+01,1129,5115,4.477,0.854
FALSE POSITIVE,18.3980827,144.9175,0.587,4.438,1.45E+02,686,5605,4.381,1.015
CONFIRMED,11.62904159,132.82099,0.925,2.97,8.80E+01,854,5721,4.307,1.131
FALSE POSITIVE,13.6550963,137.52651,0.235,4.117,1.96E+02,780,6065,4.487,0.962
CONFIRMED,27.50871575,182.103494,0.577,5.9291,6.39E+02,663,5903,4.304,1.137
CONFIRMED,20.0708757,136.9462,0.643,6.354,4.06E+02,826,5902,4.128,1.513
CANDIDATE,98.353149,217.883,0.906,24.708,4.23E+02,552,6366,4.045,1.697
CANDIDATE,10.18318233,133.21404,0.449,3.137,5.15E+01,867,5843,4.421,1.084
CANDIDATE,6.2321233,135.2369,0.32,2.85,3.17E+01,1021,5843,4.421,1.084
CANDIDATE,8.2942929,134.8478,0.006,3.976,3.68E+01,928,5843,4.421,1.084
FALSE POSITIVE,1.540411479,131.99239,0.781,1.703,1.07E+02,1446,5769,4.57,0.812
FALSE POSITIVE,3.74785358,134.18012,0.468,3.713,9.82E+01,1093,5706,4.537,0.886
CONFIRMED,25.75274977,136.43851,0.516,2.7678,7.39E+02,501,4963,4.501,0.826
CONFIRMED,10.16102353,172.000736,0.716,3.1627,1.65E+03,904,6032,4.387,1.06
CANDIDATE,12.82993461,169.944919,0.594,2.942,1.42E+03,734,5862,4.555,0.844
CONFIRMED,49.41121127,198.238709,0.885,5.278,3.18E+03,497,5768,4.434,1.015
CONFIRMED,36.8567758,138.90683,0.05,7.495,7.14E+02,549,5768,4.434,1.015
FALSE POSITIVE,35.080928,164.4576,0.712,6.92,1.01E+02,610,6007,4.353,1.126
CONFIRMED,10.39986173,141.51366,0.757,3.377,2.75E+02,678,4963,4.501,0.826
FALSE POSITIVE,0.828206212,135.722038,0.615,1.737,1.32E+02,3274,5812,3.598,3.227
CONFIRMED,24.31574009,183.40875,0.653,4.1344,6.43E+02,683,6242,4.442,1.047
FALSE POSITIVE,199.443024,240.85148,0.932,7.409,4.04E+03,332,5646,4.278,1.153
CONFIRMED,39.6766071,178.55555,0.639,5.04,6.11E+02,473,5244,4.449,0.888
FALSE POSITIVE,358.66044,296.9516,0.062,16.732,1.34E+02,304,5619,4.07,1.406
CONFIRMED,4.454194254,172.8202233,0.479,2.3061,1.60E+04,1017,5359,4.425,0.915
CANDIDATE,809.0141881,250.634242,0.717,8.3017,1.63E+04,216,6230,4.397,1.047
CONFIRMED,21.0871953,202.858405,0.065,5.92691,8.89E+03,873,6266,4.101,1.522
FALSE POSITIVE,1.575631524,170.393276,1.065,2.59202,2.56E+04,1577,6202,4.537,0.858
CONFIRMED,6.09855603,135.92906,0.21,2.9815,8.44E+01,927,5465,4.449,0.925
FALSE POSITIVE,203.250506,208.4914,0.336,9.81,2.39E+02,292,5600,4.455,0.872
CONFIRMED,16.54295261,169.65031,0.329,3.8516,7.26E+02,611,5215,4.518,0.867
CONFIRMED,11.0234748,171.114662,0.724,1.4814,1.80E+03,429,3744,4.718,0.537
CONFIRMED,34.18884323,193.38946,0.065,5.3278,1.06E+03,526,5515,4.453,0.925
CONFIRMED,4.30165843,172.311001,0.547,2.1055,7.39E+02,1009,5480,4.509,0.865
CONFIRMED,7.650243513,171.972352,0.014,2.752,9.81E+02,772,5409,4.609,0.746
CANDIDATE,2.47240869,132.44084,0.319,1.87,4.75E+01,887,4729,4.726,0.525
CONFIRMED,4.592393816,172.004723,0.02,2.2748,1.03E+03,924,5351,4.582,0.796
CANDIDATE,11.53029332,173.726435,0.027,1.8385,1.21E+03,873,5770,4.289,1.152
CONFIRMED,5.859935955,132.040528,0.049,4.0185,3.23E+02,1246,6181,4.22,1.424
CONFIRMED,2.104721971,171.044219,0.001,1.7547,9.06E+02,1365,5703,4.498,0.975
FALSE POSITIVE,10.63624422,171.69616,0.978,5.055,2.32E+02,756,5834,4.591,0.774
CANDIDATE,7.9069765,138.427,0.038,4.634,1.26E+02,994,6347,4.464,0.996
CONFIRMED,6.412512953,169.879804,0.553,5.2677,1.16E+03,1069,6026,4.366,1.108
CONFIRMED,2.019997006,170.07102,0.502,1.8073,3.33E+02,1166,5103,4.562,0.787
CONFIRMED,3.763041531,132.59298,0.76,1.6011,3.55E+02,948,5103,4.562,0.787
CONFIRMED,6.521209629,175.7111,0.514,2.7975,7.60E+02,932,5822,4.529,0.898
CONFIRMED,6.996926239,175.914281,0.022,2.7374,1.32E+03,888,5713,4.541,0.893
CANDIDATE,13.9509565,144.287,0.467,5.231,3.57E+01,849,5888,4.275,1.227
FALSE POSITIVE,5.428344915,169.753676,0.911,1.8931,1.38E+04,1033,5936,4.501,0.965
CANDIDATE,16.30141333,172.14753,0.786,3.5764,9.42E+02,805,6072,4.328,1.138
CONFIRMED,24.61480613,191.741225,0.435,2.6602,1.80E+03,586,5312,4.384,0.986
CONFIRMED,42.949522,153.73786,0.013,5.4154,9.59E+02,487,5312,4.384,0.986
CONFIRMED,117.033521,245.65151,0.188,6.822,7.70E+02,349,5312,4.384,0.986
FALSE POSITIVE,386.39833,365.94877,0.287,8.519,7.48E+02,214,5284,4.523,0.812
CONFIRMED,1.55400389,169.830304,0.016,1.7664,4.66E+02,1313,5409,4.609,0.746
CONFIRMED,34.25951418,183.23718,0.008,4.7743,1.07E+03,468,5409,4.609,0.746
FALSE POSITIVE,23.8761144,143.07006,0.014,9.3113,1.61E+03,1481,9974,4.048,2.533
FALSE POSITIVE,4.99270186,169.55323,1.232,3.1008,5.57E+02,1051,5724,4.429,0.951
CONFIRMED,4.79860021,173.257466,0.594,3.0384,8.17E+02,978,5631,4.557,0.847
FALSE POSITIVE,7.7333361,133.58981,0.084,2.807,1.27E+02,479,3780,4.746,0.511
CONFIRMED,9.57665962,176.683759,0.043,3.3603,7.47E+02,846,5386,4.322,1.076
CONFIRMED,96.6781852,140.18339,0.336,5.6957,9.51E+02,392,5386,4.322,1.076
CONFIRMED,20.55280311,145.02837,0.568,2.2013,7.27E+02,656,5386,4.322,1.076
FALSE POSITIVE,2.023123903,170.513161,0.026,1.1829,1.29E+03,1266,5559,4.578,0.803
CONFIRMED,10.94026745,170.30551,0.595,2.3494,5.39E+02,764,5749,4.547,0.864
CONFIRMED,19.5352551,148.20374,0.702,1.013,1.73E+03,161,2703,5.274,0.118
CANDIDATE,3.687469832,170.8803594,0.919,1.0668,5.06E+03,690,4004,4.659,0.606
CONFIRMED,151.863949,143.31451,0.016,8.577,7.47E+02,318,5713,4.541,0.893
CONFIRMED,5.945043548,170.472237,0.763,2.7004,8.00E+02,857,5105,4.469,0.868
CONFIRMED,65.7045275,137.44275,0.663,3.3104,6.36E+02,472,5918,4.403,1.043
CONFIRMED,17.73842886,148.99011,0.845,3.0049,6.06E+02,596,5105,4.469,0.868
CANDIDATE,84.799829,180.4426,0.795,15.21,5.61E+01,491,5619,4.07,1.406
CONFIRMED,9.93962361,131.58267,0.934,3.432,3.00E+02,722,5105,4.469,0.868
CONFIRMED,6.8731664,172.518826,0.055,6.8569,3.75E+03,1482,6490,3.942,2.179
CONFIRMED,8.600099313,172.529281,0.048,4.0077,2.79E+03,760,5246,4.501,0.805
CONFIRMED,12.37646897,179.404945,0.468,2.7075,1.71E+03,483,4200,4.664,0.607
CANDIDATE,9.340538,135.12248,0.074,2.57,2.01E+02,530,4200,4.664,0.607
CANDIDATE,330.071558,340.9871,0.681,4.295,6.17E+02,286,5933,4.342,1.115
CONFIRMED,18.87022157,178.71167,0.013,3.1404,1.10E+03,621,5402,4.452,0.865
CONFIRMED,19.5776073,135.2032,0.049,3.382,9.81E+01,628,5465,4.449,0.925
CONFIRMED,17.20522898,175.05878,0.012,3.6688,1.08E+03,553,5211,4.643,0.689
FALSE POSITIVE,17.90766147,175.55977,0.978,5.396,1.09E+03,731,6153,4.471,0.993
CONFIRMED,22.18332255,169.49619,0.024,5.1364,7.48E+02,646,5565,4.361,1.03
FALSE POSITIVE,354.78194,175.7246,1.17,6.46,1.93E+02,325,5798,4.025,1.525
CONFIRMED,7.65880048,173.03964,0.017,3.0427,6.68E+02,858,5657,4.508,0.855
CONFIRMED,9.3789167,176.45197,0.671,3.3427,5.64E+02,803,5684,4.493,0.808
CONFIRMED,4.221626193,173.699895,0.847,3.0619,6.58E+02,1176,6123,4.472,0.987
CONFIRMED,16.54967098,171.69398,0.88,4.3808,7.45E+02,656,5372,4.434,0.916
CONFIRMED,2.154911236,133.498613,0.113,3.1341,9.97E+01,1740,6181,4.22,1.424
CANDIDATE,11.505879,136.2363,0.029,5.583,4.98E+01,1000,6336,4.266,1.403
CONFIRMED,3.52467888,131.63994,0.976,2.484,1.30E+02,1098,5372,4.434,0.916
CONFIRMED,6.400157105,174.02214,0.898,2.0004,7.43E+02,810,5299,4.597,0.766
CONFIRMED,2.437029217,170.73808,0.014,3.2005,2.44E+02,1513,5573,4.177,1.329
CONFIRMED,9.9267215,175.68671,0.625,3.8428,7.26E+02,803,5475,4.43,0.982
CONFIRMED,21.22349325,170.37387,0.794,4.9416,5.83E+02,623,5475,4.43,0.982
CONFIRMED,6.47027706,136.50567,0.732,3.343,1.17E+02,926,5475,4.43,0.982
CONFIRMED,3.722158895,171.560055,0.644,1.9941,7.57E+02,1046,5617,4.574,0.806
CONFIRMED,46.9026431,154.30327,0.645,3.9264,8.21E+02,458,5402,4.452,0.865
CONFIRMED,5.263415218,174.351207,0.853,2.1446,1.03E+03,1103,6099,4.456,1.028
CONFIRMED,4.030466786,171.092308,0.033,2.7734,2.91E+03,970,5234,4.542,0.854
FALSE POSITIVE,9.27989,133.7457,0.579,3.33,1.64E+02,897,6052,4.456,0.967
CONFIRMED,328.240201,199.203375,0.75,12.2726,1.39E+04,224,5234,4.542,0.854
FALSE POSITIVE,22.26480657,173.103028,0.75,8.7941,1.94E+04,585,5681,4.566,0.813
FALSE POSITIVE,2.217038096,171.69587,0.754,1.8575,5.44E+02,1697,6521,4.352,1.276
FALSE POSITIVE,8.874603,140.2954,0.1897,2.88,9.33E+01,1070,6517,4.349,1.278
CONFIRMED,4.393157678,172.867528,0.102,2.4455,4.47E+02,807,4799,4.631,0.692
